course_id,course_name,category,level,skills,duration_hours,rating,instructor,platform,course_url
17,Statistics for Data Science and Business Analysis,Data Science,Intermediate,"statistics probability hypothesis testing distributions regression",5,4.6,365 Careers,Udemy,https://www.udemy.com/course/statistics-for-data-science-and-business-analysis/
18,Docker and Kubernetes: The Complete Guide,Cloud Computing,Intermediate,"docker kubernetes devops ci cd containers deployment",22,4.7,Stephen Grider,Udemy,https://www.udemy.com/course/docker-and-kubernetes-the-complete-guide/
19,User Experience Design Essentials - Adobe XD UI UX Design,Design,Beginner,"ui ux adobe xd wireframes prototyping user experience design",10,4.6,Daniel Walter Scott,Udemy,https://www.udemy.com/course/ui-ux-web-design-using-adobe-xd/
20,Arduino Step by Step: Getting Started,Electronics,Beginner,"arduino sensors electronics embedded systems iot prototyping",16,4.6,Tech Explorations,Udemy,https://www.udemy.com/course/arduino-sbs-17gs/
21,Ethereum and Solidity: The Complete Developer's Guide,Emerging Technology,Advanced,"blockchain ethereum solidity smart contracts web3",24,4.6,Stephen Grider,Udemy,https://www.udemy.com/course/ethereum-and-solidity-the-complete-developers-guide/
22,Microsoft Excel - Excel from Beginner to Advanced,Data Analytics,Beginner,"excel formulas pivot tables dashboards data cleaning analysis",22,4.7,Kyle Pew,Udemy,https://www.udemy.com/course/microsoft-excel-2013-from-beginner-to-advanced-and-beyond/
23,Recommender Systems and Deep Learning in Python,Machine Learning,Advanced,"python recommender systems collaborative filtering matrix factorization deep learning",13,4.6,Lazy Programmer,Udemy,https://www.udemy.com/course/recommender-systems/
24,Python for Time Series Data Analysis,Machine Learning,Advanced,"python time series forecasting arima statsmodels business analytics",12,4.6,Jose Portilla,Udemy,https://www.udemy.com/course/python-for-time-series-data-analysis/
25,FastAPI - The Complete Course,Software Engineering,Intermediate,"python fastapi rest api backend authentication database",19,4.7,Eric Roby,Udemy,https://www.udemy.com/course/fastapi-the-complete-course/
26,Machine Learning A-Z: AI Python & R,Machine Learning,Beginner,"python r machine learning regression classification clustering reinforcement learning",42,4.6,Kirill Eremenko,Udemy,https://www.udemy.com/course/machinelearning/
27,Deep Learning A-Z: Neural Networks AI & ChatGPT,Artificial Intelligence,Intermediate,"python deep learning neural networks cnn rnn autoencoders ai",26,4.6,Kirill Eremenko,Udemy,https://www.udemy.com/course/deeplearning/
28,The Data Science Course: Complete Data Science Bootcamp,Data Science,Beginner,"statistics python mathematics machine learning deep learning data science",32,4.6,365 Careers,Udemy,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/
29,Complete Python Bootcamp From Zero to Hero in Python,Programming,Beginner,"python programming functions object oriented programming projects",22,4.6,Jose Portilla,Udemy,https://www.udemy.com/course/complete-python-bootcamp/
30,Tableau A-Z: Hands-On Tableau Training for Data Science,Data Analytics,Beginner,"tableau dashboards visualization business intelligence analytics",9,4.6,Kirill Eremenko,Udemy,https://www.udemy.com/course/tableau10/
31,The Complete JavaScript Course: From Zero to Expert,Web Development,Intermediate,"javascript es6 object oriented programming web apps projects",69,4.7,Jonas Schmedtmann,Udemy,https://www.udemy.com/course/the-complete-javascript-course/
32,React - The Complete Guide,Web Development,Intermediate,"react javascript redux hooks frontend web development",68,4.6,Maximilian Schwarzmüller,Udemy,https://www.udemy.com/course/react-the-complete-guide-incl-redux/
33,The Complete Node.js Developer Course,Web Development,Intermediate,"nodejs express mongodb rest api backend javascript",35,4.6,Andrew Mead,Udemy,https://www.udemy.com/course/the-complete-nodejs-developer-course-2/
34,Complete Linux Training Course to Get Your Dream IT Job,Cloud Computing,Beginner,"linux shell scripting system administration networking devops",44,4.6,Imran Afzal,Udemy,https://www.udemy.com/course/complete-linux-training-course-to-get-your-dream-it-job/
35,The Complete SQL Bootcamp: Go from Zero to Hero,Data Engineering,Beginner,"sql postgresql joins window functions database analytics",9,4.7,Jose Portilla,Udemy,https://www.udemy.com/course/the-complete-sql-bootcamp/
